S. No.,problem,category,type,data,code,clause
1,Damaged,Road Sign,STOP Sign,"The 'STOP' sign, used on Minor Roads intersecting Major Roads, requires vehicles to stop before entering and proceed only when safe. It is octagonal with a red background, a white border, and ""STOP"" written centrally in white. Installed on the left side of the approach, it should be placed close to the stop line, typically 1.5 m in advance, without impairing visibility of the Major Road.
The dimensions vary by approach speed: up to 50 km/h, 750 mm height, 25 mm border, 175 mm font; 51–65 km/h, 900 mm height, 30 mm border, 210 mm font; and over 65 km/h, 1200 mm height, 40 mm border, 280 mm font.",IRC:67-2022,14.4
2,Height Issue,Road Sign,Minimum Speed Limit Sign,"Minimum Speed Limit Sign shall be installed to indicate the minimum legal speed. This shall be used on specific sections to avoid the slow moving vehicles acting as a hindrance so as to improve the efficiency of the traffic movement. When installing road signs, it is important to ensure proper clearance and visibility for both vehicles and pedestrians. For kerbed roads, the bottom edge of the lowest sign shall be 2.1 to 2.5 m above the kerb and shall be 2 to 2.5 m above the pavement on roads without kerbs. A minimum headroom of 2.1 m is required for signs above footpaths or pedestrian areas. For multi-lane highways, signs placed on medians for better visibility shall have a minimum clearance of 2.5 m (as per clauses 4.3, 4.4).
*Prohibitory Signs in conjunction with traffic signal",IRC:67-2022,14.10.6
3,Faded,Road Sign,Hospital Sign,"Hospital sign should be used to notify drivers of vehicles that they should take the precautions required near medical establishments and in particular that they should not make any unnecessary noise. The sign also serves to indicate the location of hospital where medical facilities will be available.
Sign shall be rectangular and have a blue background, while black symbol shall be displayed in a white square to indicate the facility. The size of the normal sign shall be 600 mm x 800 mm and of the small sized sign 450 mm x 600 mm.On the blue band at the bottom of the sign, the distance to the facility indicated or to entry of the road leading to it, may be inscribed in white. Signs may also be set up at the entry to the road leading to the facility and may then bear a white directional arrow on the blue part at the bottom (as per clause 17.1).",IRC:67-2022,17.8
4,Spacing Issue,Road Sign,U-Turn Ahead Sign,"When multiple signs need to be placed along the same section of road, care shall be taken to ensure they do not obscure each other. On interurban roads, two successive signs shall be spaced at a minimum distance of 0.6*V m (where V is the design speed in km/h). For urban roads, a minimum distance of 20 m between successive signs shall be maintained.",IRC:67-2022,4.8
5,Improper Placement,Road Sign,Gap in Median Sign,"Gap in Median sign shall be installed ahead of a gap in the median of a divided carriageway, other than at intersection.
Signs are normally erected on the left side of the road, but in high-traffic areas, critical locations or where visibility is limited, a second sign may be placed on the right side or median of multilane roads (as per clause 4.8).
Placement of Cautionary sign vary with approach speed: up to 50 km/h, clear visibility distance as 45 m placed 45m from the hazard; 51-65 km/h, clear visibility distance as 60 m placed 45-110m from the hazard; 66-80 km/h, clear visibility distance as 70 m placed 110-180m from the hazard; 81-120 km/h, clear visibility distance as 90 m placed 180-245m from the hazard; 121-150 km/h, clear visibility distance as 110 m placed 245-305m from the hazard (as per clause 15.2).
Signs shall be 600 mm to 3 m from the shoulder, at least 1 m from the edge on roads without shoulders and minimum 300 mm from the kerb on kerbed roads, ensuring no obstruction (as per clause 4.2).",IRC:67-2022,15.26
6,Obstruction,Road Sign,Crash Prone Area Ahead Sign,"Drivers and other road users must have a clear and unobstructed view of road signs to ensure safe navigation. The area that shall remain free from obstructions to the sight line, whether caused by vegetation (e.g., bushes, trees), other signs, or street furniture (e.g., crash barriers), is referred to as the clear visibility distance. This distance shall increase as traffic speeds rise to provide sufficient reaction time. Road signs or their supports (including front and back) shall not display any form of advertisement or message unrelated to traffic control (as per clause 2.3).",IRC:67-2022,11.2
7,Non-Retroreflective,Road Sign,U-Turn Prohibited Sign,"The 'U-Turn Prohibited' sign indicates areas where vehicles are not allowed to reverse their direction of travel. It should be placed at the start and at intervals along road sections where this restriction is enforced by the controlling authority. The maximum spacing between two successive signs should not exceed 120 meters on each side of the road. The sign is circular with a red border, a red oblique bar, a white background, and a black symbol. The sign is circular with a red border, a red oblique bar, a white background, and a black symbol. Its size depends on design speed: Up to 65 km/h (300 mm* diameter, 35 mm border and oblique bar, 75 mm font; or 600 mm diameter, 50 mm border and bar, 100 mm font), 66–80 km/h (750 mm diameter, 60 mm border and oblique bar, 125 mm font), 81–100 km/h (900 mm diameter, 75 mm border and oblique bar, 150 mm font), 101–120 km/h (1200 mm diameter, 100 mm border and oblique bar, 225 mm font), and 121–150 km/h (1500 mm diameter, 125 mm border and oblique bar, 250 mm font).
The retro-reflective sheeting used shall cover the entire surface, be weather-resistant, colorfast, and free from defects, with a minimum coefficient of retro-reflection in accordance with ASTM D 4956 standards. The sign shall be replaced either at the end of the warranty period of the retro-reflective sheeting or if its reflectivity falls below 80 percent of the initial reflectivity (as per clauses 6.7 & 13.3).
*Prohibitory Signs in conjunction with traffic signal",IRC:67-2022,14.6.22
8,Spacing Issue,Road Sign,U-Turn Ahead Sign,"When multiple signs need to be placed along the same section of road, care shall be taken to ensure they do not obscure each other. On interurban roads, two successive signs shall be spaced at a minimum distance of 0.6*V m (where V is the design speed in km/h). For urban roads, a minimum distance of 20 m between successive signs shall be maintained.",IRC:67-2022,4.8
9,Height Issue,Road Sign,Object Hazard (Left) Sign,"Retroreflective Object Hazard (Left) sign is used for roadside hazards on the left side, such as bridge abutments, guard rails or trees encroaching into the roadway. It is specifically intended to warn of hazards located on the left edge of the travelled way. The sign shall be a vertical rectangle of 300 mm x 900 mm.
Object Hazard Marker are striped markers with alternating black and yellow stripes sloping downward at an angle of 45° towards the side of the obstruction on which the traffic is to pass. These shall be erected immediately ahead of the line of obstruction and at sufficient height to ensure that these will be properly visible to the oncoming traffic. The inner edge of the OHM shall align with the obstruction's inner edge wherever possible (as per clause 5.1 and 5.2 of IRC:79-2019).",IRC:67-2022,15.66
10,Obstruction,Road Sign,Bus Stop Sign,"Drivers and other road users must have a clear and unobstructed view of road signs to ensure safe navigation. The area that should remain free from obstructions to the sight line, whether caused by vegetation (e.g., bushes, trees), other signs, or street furniture (e.g., crash barriers), is referred to as the clear visibility distance. This distance should increase as traffic speeds rise to provide sufficient reaction time.
Road signs or their supports (including front and back) shall not display any form of advertisement or message unrelated to traffic control (as per clause 2.3).",IRC:67-2022,11.2
